Business License Number,Business Name,DBA,Business Status,Business License Type,Business License Classification,Business License Status,Business License Year,Business License Issued Date,Business License Expiration Date
STR-025706-2025,107 TURNBUCKLE CT LLC,107 TURNBUCKLE CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-024957,120 BLUELAKE BLVD.,120 BLUELAKE BLVD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025998-2025,1224 WILMINGTON ISLAND RD LLC,1224 WILMINGTON ISLAND ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025830-2025,13 EARL COURT LLC,13 EARL CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025938-2025,152 S. ROBINHOOD LLC  (MONICA L CHAPMAN),152 S ROBINHOOD DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026340-2026,"1521 WALTHOUR RD, LLC.",1521 WALTHOUR RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/22/2026,6/30/2027
STR-025111,"17 THIRTY-TWO, LLC.",2 DELFORD CT.,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025602-2025,1790 OGLETHORPE LLC,212 BATTERY WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026577-2026,"18 SHEFTALL COVE, LLC.",18 SHEFTALL CV.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/4/2026,6/30/2027
STR-025766-2025,1940 STONE STREET LLC,1940 STONE STREET,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026496-2026,"1BRANSBYDR, LLC.",1 BRANSBY DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/23/2026,6/30/2027
STR-026183-2025,214 EAST POINT DRIVE LLC.,214 EAST POINT DRIVE LLC.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
