airbnb_url,license,address,proof_1
https://www.airbnb.com/rooms/675919486105912125,STR-025818-2025;STR-025817-2025,9943 WHITEFIELD AVE,https://www.realtor.com/realestateandhomes-detail/9943-Whitefield-Ave_Savannah_GA_31406_M69616-19667
https://www.airbnb.com/rooms/1497949957267156694,STR-025638-2025,5 TARA MANOR DR,https://www.zillow.com/homedetails/5-Tara-Manor-Dr-Savannah-GA-31406/14141445_zpid/
https://www.airbnb.com/rooms/1484729857538833989,STR-026170-2025,28 RIVER OAKS RD,https://www.realtor.com/realestateandhomes-detail/28-River-Oaks-Rd_Savannah_GA_31410_M55342-96803
https://www.airbnb.com/rooms/1600749684865342988,STR-026302-2026,111 RUNNER RD,https://www.realtor.com/realestateandhomes-detail/111-Runner-Rd_Savannah_GA_31410_M53883-63372
https://www.airbnb.com/rooms/50312910,STR-025879-2025,6 BRANDY LN,https://www.realtor.com/realestateandhomes-detail/M5568477773
https://www.airbnb.com/rooms/23328571,STR-025745-2025,1119 HALCYON DR,
https://www.airbnb.com/rooms/21587149,STR-025746-2025,1125 HALCYON DR,
https://www.airbnb.com/rooms/818903605728094194,STR-025742-2025,12 QUEENS CT,
https://www.airbnb.com/rooms/1673150985275356458,STR-026473-2026,33 PENROSE DR.,
https://www.airbnb.com/rooms/1688492923193761460,STR-026480-2026,29 PENROSE DR.,
https://www.airbnb.com/rooms/836838326002480258,STR-025682-2025,231 BUCKHALTER RD ,
https://www.airbnb.com/rooms/1237087616150016902,STR-025743-2025,730 Wilmington Island Rd,https://www.redfin.com/GA/Savannah/730-Wilmington-Island-Rd-31410/home/121119005
https://www.airbnb.com/rooms/1227576278638490928,STR-025743-2026,730 Wilmington Island Rd,https://www.redfin.com/GA/Savannah/730-Wilmington-Island-Rd-31410/home/121119005
https://www.airbnb.com/rooms/51490258,STR-025743-2027,730 Wilmington Island Rd,https://www.redfin.com/GA/Savannah/730-Wilmington-Island-Rd-31410/home/121119005
https://www.airbnb.com/rooms/1142954320044562392,STR-025848-2025,202 FONTENOT DR,
https://www.airbnb.com/rooms/1648526312201167883,STR-026305-2026,117 BLAINE CT,
https://www.airbnb.com/rooms/676895130710905435,STR-025749-2025,5000 TAYLOR RD,
https://www.airbnb.com/rooms/1557647945376292850?modal=PHOTO_TOUR_SCROLLABLE,STR-026403-2026,108 RUNNER RD,
